match_id,surface,tourney_date,stat_name,side,value
127,Hard,2024-01-15,secondServePointsAccuracy,Loser,0.9583333333333334
127,Hard,2024-01-15,breakPointsSaved,Winner,0.125
127,Hard,2024-01-15,breakPointsSaved,Loser,0.375
128,Hard,2024-01-15,aces,Winner,0.5454545454545454
128,Hard,2024-01-15,aces,Loser,0.6190476190476191
128,Hard,2024-01-15,doubleFaults,Winner,0.22727272727272727
128,Hard,2024-01-15,doubleFaults,Loser,0.5238095238095238
128,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.3636363636363638
128,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.9047619047619047
128,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.0454545454545454
128,Hard,2024-01-15,secondServePointsAccuracy,Loser,0.9523809523809523
128,Hard,2024-01-15,breakPointsSaved,Winner,0.09090909090909091
128,Hard,2024-01-15,breakPointsSaved,Loser,0.47619047619047616
129,Hard,2024-01-15,aces,Winner,0.9130434782608695
129,Hard,2024-01-15,aces,Loser,0.6521739130434783
129,Hard,2024-01-15,doubleFaults,Winner,0.21739130434782608
129,Hard,2024-01-15,doubleFaults,Loser,0.08695652173913043
129,Hard,2024-01-15,firstServePointsAccuracy,Winner,3.391304347826087
129,Hard,2024-01-15,firstServePointsAccuracy,Loser,3.130434782608696
129,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.2608695652173914
129,Hard,2024-01-15,secondServePointsAccuracy,Loser,0.9130434782608695
129,Hard,2024-01-15,breakPointsSaved,Winner,0.5217391304347826
129,Hard,2024-01-15,breakPointsSaved,Loser,0.21739130434782608
130,Hard,2024-01-15,aces,Winner,0.6428571428571429
130,Hard,2024-01-15,aces,Loser,0.3076923076923077
130,Hard,2024-01-15,doubleFaults,Winner,0.14285714285714285
130,Hard,2024-01-15,doubleFaults,Loser,0.23076923076923078
130,Hard,2024-01-15,firstServePointsAccuracy,Winner,3.5714285714285716
130,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.3076923076923075
